puzzle_id,difficulty,algorithm,run_id,seed,success,elapsed_ms,nodes_explored,backtracks,max_depth,iterations,restarts,moves,stopped_reason
1,easy,backtracking,0,,True,0.736,36,2,35,0,0,0,solved
1,easy,backtracking,1,,True,0.553,36,2,35,0,0,0,solved
1,easy,backtracking,2,,True,0.513,36,2,35,0,0,0,solved
2,easy,backtracking,0,,True,0.673,47,16,35,0,0,0,solved
2,easy,backtracking,1,,True,0.666,47,16,35,0,0,0,solved
2,easy,backtracking,2,,True,0.661,47,16,35,0,0,0,solved
3,easy,backtracking,0,,True,0.824,65,39,35,0,0,0,solved
3,easy,backtracking,1,,True,0.807,65,39,35,0,0,0,solved
3,easy,backtracking,2,,True,0.973,65,39,35,0,0,0,solved
4,easy,backtracking,0,,True,0.547,40,7,35,0,0,0,solved
4,easy,backtracking,1,,True,0.542,40,7,35,0,0,0,solved
4,easy,backtracking,2,,True,0.513,40,7,35,0,0,0,solved
5,easy,backtracking,0,,True,0.949,69,47,35,0,0,0,solved
5,easy,backtracking,1,,True,0.802,69,47,35,0,0,0,solved
5,easy,backtracking,2,,True,0.952,69,47,35,0,0,0,solved
6,easy,backtracking,0,,True,0.678,45,16,35,0,0,0,solved
6,easy,backtracking,1,,True,0.843,45,16,35,0,0,0,solved
6,easy,backtracking,2,,True,0.885,45,16,35,0,0,0,solved
7,easy,backtracking,0,,True,1.554,92,72,35,0,0,0,solved
7,easy,backtracking,1,,True,1.323,92,72,35,0,0,0,solved
7,easy,backtracking,2,,True,1.215,92,72,35,0,0,0,solved
8,easy,backtracking,0,,True,1.42,87,66,35,0,0,0,solved
8,easy,backtracking,1,,True,1.518,87,66,35,0,0,0,solved
8,easy,backtracking,2,,True,1.377,87,66,35,0,0,0,solved
9,easy,backtracking,0,,True,0.786,56,28,35,0,0,0,solved
9,easy,backtracking,1,,True,0.733,56,28,35,0,0,0,solved
9,easy,backtracking,2,,True,0.766,56,28,35,0,0,0,solved
10,easy,backtracking,0,,True,1.609,94,76,35,0,0,0,solved
10,easy,backtracking,1,,True,1.529,94,76,35,0,0,0,solved
10,easy,backtracking,2,,True,1.269,94,76,35,0,0,0,solved
11,medium,backtracking,0,,True,1.297,94,61,43,0,0,0,solved
11,medium,backtracking,1,,True,1.165,94,61,43,0,0,0,solved
11,medium,backtracking,2,,True,1.293,94,61,43,0,0,0,solved
12,medium,backtracking,0,,True,2.054,158,151,43,0,0,0,solved
12,medium,backtracking,1,,True,2.002,158,151,43,0,0,0,solved
12,medium,backtracking,2,,True,2.178,158,151,43,0,0,0,solved
13,medium,backtracking,0,,True,2.043,131,111,43,0,0,0,solved
13,medium,backtracking,1,,True,1.717,131,111,43,0,0,0,solved
13,medium,backtracking,2,,True,1.718,131,111,43,0,0,0,solved
14,medium,backtracking,0,,True,1.339,85,54,43,0,0,0,solved
14,medium,backtracking,1,,True,1.372,85,54,43,0,0,0,solved
14,medium,backtracking,2,,True,1.366,85,54,43,0,0,0,solved
15,medium,backtracking,0,,True,0.737,54,17,43,0,0,0,solved
15,medium,backtracking,1,,True,0.73,54,17,43,0,0,0,solved
15,medium,backtracking,2,,True,0.713,54,17,43,0,0,0,solved
16,medium,backtracking,0,,True,1.113,77,46,43,0,0,0,solved
16,medium,backtracking,1,,True,1.089,77,46,43,0,0,0,solved
16,medium,backtracking,2,,True,1.083,77,46,43,0,0,0,solved
17,medium,backtracking,0,,True,3.558,262,292,43,0,0,0,solved
17,medium,backtracking,1,,True,3.413,262,292,43,0,0,0,solved
17,medium,backtracking,2,,True,3.442,262,292,43,0,0,0,solved
18,medium,backtracking,0,,True,7.513,591,699,43,0,0,0,solved
18,medium,backtracking,1,,True,7.911,591,699,43,0,0,0,solved
18,medium,backtracking,2,,True,7.687,591,699,43,0,0,0,solved
19,medium,backtracking,0,,True,8.254,548,667,43,0,0,0,solved
19,medium,backtracking,1,,True,7.228,548,667,43,0,0,0,solved
19,medium,backtracking,2,,True,6.706,548,667,43,0,0,0,solved
20,medium,backtracking,0,,True,0.994,74,41,43,0,0,0,solved
