difficulty,algorithm,n_runs,n_success,success_rate,mean_ms,median_ms,std_ms,p95_ms,mean_nodes,mean_backtracks,mean_depth,mean_iterations,mean_restarts,mean_moves
easy,backtracking,30,30,1.0,0.941,0.816,0.351,1.543,63.1,36.9,35,0,0,0
easy,mrv,30,30,1.0,4.047,4.187,0.382,4.634,35,0,35,0,0,0
easy,min_conflicts,100,100,1.0,233.907,69.524,577.518,1365.065,0,0,0,146.2,0.08,145.8
medium,backtracking,30,30,1.0,2.796,1.545,2.539,7.81,207.4,213.9,43,0,0,0
medium,mrv,30,30,1.0,4.691,4.599,1.304,6.81,43.2,0.3,43,0,0,0
medium,min_conflicts,100,100,1.0,469.889,209.051,706.982,1772.08,0,0,0,293.6,0.11,291.6
hard,backtracking,30,30,1.0,14.861,8.174,14.007,41.067,1355.9,1667,49,0,0,0
hard,mrv,30,30,1.0,6.304,6.064,0.577,7.191,51.3,2.7,49,0,0,0
hard,min_conflicts,100,100,1.0,2497.173,1478.754,3395.356,10759.918,0,0,0,1457.9,1.12,1457.9
expert,backtracking,30,30,1.0,364.744,113.82,571.748,1837.409,32101.4,41550.6,54,0,0,0
expert,mrv,30,30,1.0,25.726,22.554,15.802,61.64,151.7,107.4,54,0,0,0
expert,min_conflicts,100,99,0.99,13846.242,7073.635,18584.238,62176.807,0,0,0,7198.6,6.68,7198.6
